taxonomy_id,rab.all,rab.win.Omni,rab.win.Vegan,diff.btw,diff.win,effect,overlap,we.ep,we.eBH,wi.ep,wi.eBH,name
2663859,-1.6006981605159893,0.018335650726729824,-6.821279683085621,-9.196740082285219,6.116552325362269,-1.8424290969570105,3.6539984880401186e-4,0.04539748952777324,1,0.09999999999999977,0.814748635726471,Aeromicrobium senzhongii
3243765,1.0150646346454018,1.6577884874510644,-0.3695583523439545,-6.584952949539357,5.4580230726518835,-1.2892003096932396,3.6539984880401186e-4,0.14019872664894814,1,0.09999999999999977,0.814748635726471,Agromyces sp. MMS24-JH15
3372850,-0.6113196675893633,0.13913450306170994,-5.180967415222055,-6.0704217070195305,4.53064419299529,-1.3938270093342757,3.6539984880401186e-4,0.08519349244572431,1,0.09999999999999977,0.814748635726471,Agromyces sp. MMS24-K17
2821514,1.4046071072992312,2.2256571161116536,0.44131270900052755,-1.864720380825604,1.150506304901759,-1.598911393789776,3.6539984880401186e-4,0.09550488451652359,1,0.09999999999999977,0.814748635726471,Algihabitans sp.
1872431,2.342752145948011,3.654859335537931,1.4119430222023883,-2.2313800976971647,0.8631193091314708,-2.61816217729446,3.6539984880401186e-4,0.049170436741190655,1,0.09999999999999977,0.814748635726471,Algiphilus sp.
3228789,1.8879504746394105,3.606535352844042,1.040027477281809,-2.5374538872986108,1.4994944852574728,-1.7429393641210762,3.6539984880401186e-4,0.13147500004041252,1,0.09999999999999977,0.814748635726471,Alicycliphilus soli
2585119,7.997690379330355,11.121775621615527,5.316853613453338,-5.8053994591606815,2.7522334269313253,-1.4944635853852843,3.6539984880401186e-4,0.09768210106321987,1,0.09999999999999977,0.814748635726471,Alistipes dispar
2364787,7.0035827997149545,8.47326095456399,4.8947426945569985,-3.5736080926775102,0.9224455765269717,-3.601008870429717,3.6539984880401186e-4,0.05076790676053992,1,0.09999999999999977,0.814748635726471,Alistipes megaguti
328813,11.991860390777813,14.653338356710996,11.265710860549799,-5.587657202677453,5.0133007703783505,-1.4912755985276622,3.6539984880401186e-4,0.11561811904284311,1,0.09999999999999977,0.814748635726471,Alistipes onderdonkii
1288121,9.928939743609174,10.415235902889936,9.60049206507661,-0.7904073648148895,0.3434184660412489,-1.7544121692247154,3.6539984880401186e-4,0.19458395604555384,1,0.09999999999999977,0.814748635726471,Alistipes senegalensis
889453,2.08164977369767,2.921150110379889,0.8565806588455853,-2.1140984393810527,1.1003963826264478,-2.0582332245341264,3.6539984880401186e-4,0.046072211212574404,1,0.09999999999999977,0.814748635726471,Alkalitalea saponilacus
52022,1.3896400876104948,2.8462120039059533,-0.536603452017042,-3.3141138981881912,1.722948101994998,-1.8321203060206153,3.6539984880401186e-4,0.079306370908801,1,0.09999999999999977,0.814748635726471,Allomeiothermus silvanus
3238801,2.293463517331479,2.6299078528496835,-0.0072403679596177994,-3.001624490037173,2.398207215393656,-1.4875446910349368,3.6539984880401186e-4,0.09234159212267838,1,0.09999999999999977,0.814748635726471,Amycolatopsis sp. cg9
2865832,1.935361562550896,2.4993244055552584,0.5036306222975906,-3.385119028951239,3.2562535535448056,-0.9118120206776306,3.6539984880401186e-4,0.20548516357958163,1,0.09999999999999977,0.814748635726471,Amycolatopsis sp. DSM 110486
2903562,2.0779168519852824,2.504839334333523,1.2230519706685996,-1.4547269245780923,0.8086006966534143,-1.5959800965323971,3.6539984880401186e-4,0.23436608837655357,1,0.09999999999999977,0.814748635726471,Amycolatopsis sp. NBC_01480
2932773,0.6856149430790754,1.1353491235979707,-5.223527692454915,-7.730903543582693,6.856352710356408,-1.3133245589808706,3.6539984880401186e-4,0.09468891166246446,1,0.09999999999999977,0.814748635726471,Amycolatopsis sp. WQ 127309
1745854,1.0656272634366672,1.8150913964834974,-0.20535516067031878,-2.0962841235931666,1.1206850059264148,-1.9435471925152923,3.6539984880401186e-4,0.09745951096887215,1,0.09999999999999977,0.814748635726471,Ancylobacter pratisalsi
3415671,1.5774237575621353,2.173668337540403,1.0051404873133247,-1.287564990936735,0.816713807072615,-1.4249239256141257,3.6539984880401186e-4,0.17369493149660464,1,0.09999999999999977,0.814748635726471,Aquihabitans sp. McL0605
43263,2.357411633065359,3.2420785754461825,1.5962774950227203,-1.6958354656303376,0.9211180992047403,-1.4107151005328005,3.6539984880401186e-4,0.1891533025937732,1,0.09999999999999977,0.814748635726471,Aquipseudomonas alcaligenes
370777,0.3139276060078089,0.8224940508158038,-1.1891822545095536,-2.369112036618299,1.8242008164118584,-1.5039052131004014,3.6539984880401186e-4,0.11176519824104315,1,0.09999999999999977,0.814748635726471,Arenimonas daejeonensis
2964616,0.5099716792201736,1.4825463915404953,-1.0804915118789555,-5.868928882447545,6.853964721953325,-1.296563949662139,3.6539984880401186e-4,0.12213277625209044,1,0.09999999999999977,0.814748635726471,Arthrobacter zhaoxinii
502682,1.337342193696113,2.031554632909611,0.6127562760146006,-1.6117043788460315,0.8727398251477094,-1.784792224314312,3.6539984880401186e-4,0.13364128001275324,1,0.09999999999999977,0.814748635726471,Aurantiacibacter gangjinensis
1701758,0.1748591002438058,1.81751454613432,-5.0560607420679915,-7.13826440148183,5.154374114785517,-1.4247401786148735,3.6539984880401186e-4,0.07622141404404822,1,0.09999999999999977,0.814748635726471,Aureimonas populi
418699,1.2456562705531624,1.8368584278113609,-0.2122221380419731,-4.294184030843338,3.679450309817888,-1.2272094750588183,3.6539984880401186e-4,0.18077330052772686,1,0.09999999999999977,0.814748635726471,Azoarcus olearius
3394231,-0.6102106250977037,1.7612198287155696,-6.9065276557130435,-10.21693075568041,5.204583158913897,-2.1904648163634652,3.6539984880401186e-4,0.02655395631369952,1,0.09999999999999977,0.814748635726471,Azospira sp. APE16
28111,9.563352449357481,11.875437414396742,5.950488808341071,-5.972702614085754,1.1812474251645835,-5.059153428336516,3.6539984880401186e-4,0.0049212083990403,0.9985791180840934,0.09999999999999977,0.814748635726471,Bacteroides eggerthii
674529,7.668659234483226,10.842904890545013,7.259105172452797,-3.580831110399341,2.938326097916689,-1.2412738890515842,3.6539984880401186e-4,0.186797247766175,1,0.09999999999999977,0.814748635726471,Bacteroides faecis
477666,5.000353708556407,6.72044825356619,3.625151558869222,-3.159554107995598,2.054253434480204,-1.636564438029084,3.6539984880401186e-4,0.08499156378814642,1,0.09999999999999977,0.814748635726471,Bacteroides graminisolvens
290053,6.162620244416939,7.716196418010548,4.543690730584405,-3.225820503560013,1.458814656578805,-2.4422933044351254,3.6539984880401186e-4,0.06080053095234349,1,0.09999999999999977,0.814748635726471,Bacteroides helcogenes
310300,6.98230652790093,8.01506272365017,4.881656024646446,-3.1241516948500596,1.4385767128311544,-1.952322604890269,3.6539984880401186e-4,0.07296485277113102,1,0.09999999999999977,0.814748635726471,Bacteroides pyogenes
2136147,4.859630135775697,6.4345218164758204,3.2730798776353343,-3.204702059960213,2.348562918157149,-1.4463089214497917,3.6539984880401186e-4,0.10312204800763888,1,0.09999999999999977,0.814748635726471,Bacteroides sedimenti
28119,6.095465239453544,7.659130095093536,4.001573326642969,-3.6486054735898374,1.2548902379749434,-2.4418494685780616,3.6539984880401186e-4,0.0601775598557532,1,0.09999999999999977,0.814748635726471,Bacteroides zoogleoformans
